Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
SD Craig-Bampton mode 2 amplitude  -,0,0.003343,-2.030572,,ED Platform pitch tilt rotation DOF  rad,1,0.016902,-0.024609,,ED 1st edgewise bending-mode DOF of blade collective  m,1,0.003767,0.814007,,ED 1st flapwise bending-mode DOF of blade sine  m,1,-0.004067,59.304036,,ED Platform vertical heave translation DOF  m,0,0.020077,-1.486108,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.006256,-7.457336,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.007185,-1.251145,,SD Craig-Bampton mode 4 amplitude  -,0,0.005006,0.987671,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,0.003318,-8.440529,,ED Platform vertical heave translation DOF  m,0,0.002681,-7.081102,,SD Craig-Bampton mode 5 amplitude  -,0,0.002007,12.538597,,SD Craig-Bampton mode 4 amplitude  -,0,0.000355,-81.807266,,SD Craig-Bampton mode 5 amplitude  -,0,0.000282,58.823209,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000297,-45.545036,,ED Platform horizontal sway translation DOF  m,0,-0.000506,-56.784559,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000543,3.365291,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000288,3.847856,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000072,6.473544,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000204,-1.747586,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000524,5.297889,,ED Platform roll tilt rotation DOF  rad,0,0.000512,0.122015,
ED Platform horizontal surge translation DOF  m,0,0.003338,-2.883608,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.005909,-1.838527,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.001955,-2.677958,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.003565,-7.961837,,ED Platform pitch tilt rotation DOF  rad,0,-0.007695,-1.205266,,SD Craig-Bampton mode 5 amplitude  -,0,-0.004088,-4.637126,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.005139,-3.063187,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.002704,-4.023652,,ED Platform yaw rotation DOF  rad,0,-0.002712,-4.185099,,ED Platform pitch tilt rotation DOF  rad,0,-0.001275,-5.986312,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000646,-12.598730,,ED Platform roll tilt rotation DOF  rad,0,-0.000148,-9.356011,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000153,-21.207022,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000231,21.192796,,ED Platform yaw rotation DOF  rad,0,-0.000375,11.604694,,ED Platform pitch tilt rotation DOF  rad,0,0.000284,2.985013,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000247,6.506330,,ED Platform horizontal sway translation DOF  m,0,0.000065,35.082264,,ED Platform roll tilt rotation DOF  rad,0,-0.000189,-2.600746,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000423,7.376549,,ED Platform horizontal sway translation DOF  m,0,0.000064,-4.766004,
ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000642,-1.858743,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.005476,-1.784321,,ED Platform horizontal surge translation DOF  m,0,0.001849,-3.271988,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.001879,-9.596973,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.005275,-7.402483,,ED Platform horizontal sway translation DOF  m,0,0.003086,-11.602920,,ED Platform horizontal surge translation DOF  m,0,0.003275,-3.772598,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.002126,-0.805727,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.001486,-3.771525,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000534,-5.433102,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000216,5.307996,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000106,-19.405992,,ED Platform vertical heave translation DOF  m,0,-0.000145,26.354464,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000199,-53.204122,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000212,-47.631345,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000280,16.266942,,ED Platform yaw rotation DOF  rad,0,0.000153,3.416627,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000061,9.468801,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000116,11.691395,,ED Platform horizontal surge translation DOF  m,0,0.000418,1.741110,,ED Platform yaw rotation DOF  rad,0,-0.000044,0.537563,
ED Drivetrain rotational-flexibility DOF  rad,0,0.000624,-0.332992,,ED Platform vertical heave translation DOF  m,1,-0.003272,-0.304951,,ED Platform roll tilt rotation DOF  rad,0,-0.001682,2.164164,,ED Platform horizontal surge translation DOF  m,0,0.001751,-12.506985,,ED Platform horizontal sway translation DOF  m,0,-0.005157,-9.032386,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.002758,-3.792343,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.002372,1.269342,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.001856,-0.848975,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000788,-2.182155,,SD Craig-Bampton mode 5 amplitude  -,0,0.000502,-2.186738,,ED Platform vertical heave translation DOF  m,0,-0.000133,26.085363,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000081,-63.816843,,ED Platform pitch tilt rotation DOF  rad,0,-0.000077,-22.026251,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000147,81.960853,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000149,-44.257984,,ED Platform horizontal surge translation DOF  m,0,-0.000211,-8.580080,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000044,4.950106,,ED Platform pitch tilt rotation DOF  rad,0,0.000039,6.019817,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000095,14.047006,,ED Platform pitch tilt rotation DOF  rad,0,-0.000283,5.002742,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000009,15.361705,
ED Platform yaw rotation DOF  rad,0,0.000574,-0.113228,,SD Craig-Bampton mode 5 amplitude  -,0,0.002872,-3.484907,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001291,79.865708,,ED Platform roll tilt rotation DOF  rad,0,-0.001620,-3.662779,,SD Craig-Bampton mode 5 amplitude  -,0,0.002307,-5.998624,,ED Platform vertical heave translation DOF  m,0,0.002203,-3.583515,,ED Platform yaw rotation DOF  rad,0,-0.001954,-2.698672,,ED Platform horizontal surge translation DOF  m,0,-0.000930,-6.140067,,ED Platform roll tilt rotation DOF  rad,0,-0.000197,-3.323756,,ED Platform horizontal surge translation DOF  m,0,0.000261,-36.134938,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000079,-1.719030,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000063,-27.679161,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000041,16.585972,,ED Platform yaw rotation DOF  rad,0,-0.000098,-54.556620,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000148,14.154820,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000091,4.659406,,ED Platform roll tilt rotation DOF  rad,0,0.000020,11.212488,,ED Platform horizontal surge translation DOF  m,0,0.000023,-0.217326,,ED Platform yaw rotation DOF  rad,0,0.000079,8.461030,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000077,6.086713,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000002,15.287659,
ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000395,-0.839496,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000761,-1.358341,,ED Platform yaw rotation DOF  rad,0,0.000886,34.672200,,ED Platform yaw rotation DOF  rad,1,-0.001412,87.107976,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.001852,-2.910145,,ED Drivetrain rotational-flexibility DOF  rad,0,0.001282,-7.367405,,SD Craig-Bampton mode 5 amplitude  -,0,0.001491,-1.647209,,ED Platform vertical heave translation DOF  m,0,-0.000860,-2.113542,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000171,-2.643973,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000173,5.325096,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000068,-38.105299,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000058,-19.633502,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000035,-15.381173,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000064,29.076493,,SD Craig-Bampton mode 4 amplitude  -,0,0.000124,23.589432,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000068,5.778943,,ED Platform vertical heave translation DOF  m,0,0.000017,30.492591,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000015,30.447832,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000017,12.591656,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000028,-5.994953,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-2.566701,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000387,-0.819039,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000519,-1.340996,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000417,-6.443308,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000438,9.268486,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.001546,-2.714388,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000620,-4.419006,,ED Platform vertical heave translation DOF  m,0,0.000916,-2.145905,,ED Platform yaw rotation DOF  rad,0,-0.000778,-2.632728,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000105,7.292254,,ED Platform horizontal sway translation DOF  m,0,-0.000112,-8.353483,,ED Platform horizontal sway translation DOF  m,0,0.000048,26.898082,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000054,-33.126090,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000031,-12.056967,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000054,35.290509,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000114,20.111199,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000008,-5.971222,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000007,27.442251,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000013,-8.541684,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000015,9.010115,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000011,2.205757,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000001,-30.174347,
ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000156,-1.655029,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000517,-0.959308,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000400,0.561493,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000403,-16.371038,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000487,-9.936324,,ED Platform roll tilt rotation DOF  rad,0,0.000462,-5.758956,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000764,-4.163279,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000593,-5.844538,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000085,-8.059556,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000071,-4.816428,,ED Platform roll tilt rotation DOF  rad,0,-0.000043,7.834382,,ED Platform horizontal surge translation DOF  m,0,0.000027,60.664304,,ED Platform horizontal sway translation DOF  m,0,0.000024,63.691498,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000041,-50.011790,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000034,-47.266140,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000007,-2.093265,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000005,11.427856,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000013,33.311088,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000007,-3.807114,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000010,4.199270,,ED Platform vertical heave translation DOF  m,0,0.000001,-2.543396,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000154,-1.697338,,ED Platform roll tilt rotation DOF  rad,0,-0.000431,-4.082098,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000372,5.622023,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000324,-26.426431,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000378,-2.903062,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000364,-4.480856,,ED Platform pitch tilt rotation DOF  rad,0,-0.000760,0.072687,,ED Platform pitch tilt rotation DOF  rad,0,0.000422,-1.497323,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000053,-10.198723,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000019,-11.186827,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000016,-0.519598,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000026,-5.137994,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000015,6.776988,,ED Platform roll tilt rotation DOF  rad,0,-0.000041,-36.930425,,ED Platform roll tilt rotation DOF  rad,0,-0.000028,87.510869,,ED Platform horizontal sway translation DOF  m,0,0.000007,26.926291,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000005,13.770003,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000011,7.323708,,ED Platform vertical heave translation DOF  m,0,-0.000003,-0.408197,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,2.691822,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000001,15.870632,
ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000058,-1.339804,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000344,-1.659657,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000327,-0.279681,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000311,-8.806178,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000363,-12.665983,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000163,4.849353,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000429,-4.072200,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000353,-6.285287,,ED Platform horizontal surge translation DOF  m,0,-0.000051,-7.096236,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000010,-70.270405,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000013,-14.061676,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000024,44.058827,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000014,41.775854,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000040,-34.871946,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000027,-43.103985,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000006,-2.451660,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000003,-78.311446,,ED Platform yaw rotation DOF  rad,0,0.000007,35.507945,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000002,9.144661,,ED Platform yaw rotation DOF  rad,0,-0.000003,8.164267,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000001,-30.153490,
ED Platform pitch tilt rotation DOF  rad,0,0.000057,-2.897534,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000339,-1.767600,,ED Platform vertical heave translation DOF  m,0,-0.000114,-8.800916,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000207,63.977332,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000225,-4.305920,,ED Platform pitch tilt rotation DOF  rad,0,0.000127,-9.903567,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000334,-2.283735,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000078,-5.656274,,ED Platform vertical heave translation DOF  m,0,0.000042,1.670374,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000005,63.796714,,ED Platform pitch tilt rotation DOF  rad,0,-0.000007,-14.341336,,ED Platform yaw rotation DOF  rad,0,-0.000016,-54.379814,,ED Platform roll tilt rotation DOF  rad,0,-0.000007,53.994323,,ED Platform horizontal surge translation DOF  m,0,0.000010,63.418650,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000016,15.707889,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000005,-9.450655,,ED Platform pitch tilt rotation DOF  rad,0,-0.000003,16.344514,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,3.868746,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000002,7.744217,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,0.648002,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000001,-1.308872,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000038,-1.512594,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000246,-2.976843,,ED Platform pitch tilt rotation DOF  rad,0,0.000075,-7.020035,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000148,56.173751,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000161,21.931476,,ED Platform yaw rotation DOF  rad,0,-0.000127,-9.021373,,ED Platform roll tilt rotation DOF  rad,0,-0.000091,-0.705120,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000075,-5.747165,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000036,-8.317591,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000001,-64.888028,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000005,-75.495768,,ED Platform vertical heave translation DOF  m,0,0.000013,77.680908,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000004,74.520101,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000006,-60.075829,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000015,18.212490,,ED Platform yaw rotation DOF  rad,0,0.000002,21.113144,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,33.822961,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,0.894913,,ED Platform horizontal surge translation DOF  m,0,-0.000002,-1.418148,,ED Platform roll tilt rotation DOF  rad,0,-0.000002,1.715443,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000000,-0.470534,
ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000037,-1.611721,,ED Platform yaw rotation DOF  rad,0,-0.000071,-4.581874,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000070,71.069860,,ED Platform vertical heave translation DOF  m,0,-0.000116,-7.141145,,ED Platform roll tilt rotation DOF  rad,0,-0.000068,-14.484380,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000087,-6.461761,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000084,-5.524410,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000067,-7.436722,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,-12.559687,,ED Platform roll tilt rotation DOF  rad,0,0.000000,-65.232491,,ED Platform yaw rotation DOF  rad,0,0.000004,3.538171,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000012,-37.118493,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000003,-16.579391,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000005,-56.368965,,ED Platform vertical heave translation DOF  m,0,-0.000008,41.377267,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000001,-15.134838,,ED Platform horizontal surge translation DOF  m,0,-0.000001,14.864044,,ED Platform roll tilt rotation DOF  rad,0,0.000001,75.448062,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000002,10.037980,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000002,1.128454,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000000,-32.203925,
ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000033,-1.307734,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000056,-4.721516,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000048,-81.091672,,ED Platform pitch tilt rotation DOF  rad,0,0.000075,-8.212843,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000029,4.851402,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000037,-4.398206,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000065,-8.344447,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000019,-9.624470,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000001,-15.460789,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000000,1.203144,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000002,56.523026,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000012,34.212871,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000002,-73.170531,,ED Platform vertical heave translation DOF  m,0,-0.000003,-27.543520,,ED Platform horizontal surge translation DOF  m,0,-0.000003,-20.538646,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000000,1.920085,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000000,31.209954,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000001,-41.976494,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000002,10.667989,,ED Platform horizontal sway translation DOF  m,0,-0.000001,25.090192,,ED Platform horizontal surge translation DOF  m,0,-0.000000,10.859436,
ED Platform vertical heave translation DOF  m,0,-0.000013,-3.017208,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000053,-2.044859,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000046,0.567657,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000042,-20.684387,,ED Platform yaw rotation DOF  rad,0,0.000025,-20.886665,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000010,27.092963,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000051,-6.211779,,ED Platform roll tilt rotation DOF  rad,0,0.000006,-43.194251,,ED Platform pitch tilt rotation DOF  rad,0,0.000000,-48.055875,,ED Platform yaw rotation DOF  rad,0,0.000000,83.566289,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000001,-1.468703,,ED Platform pitch tilt rotation DOF  rad,0,0.000007,23.264491,,ED Platform yaw rotation DOF  rad,0,-0.000002,0.756469,,ED Platform pitch tilt rotation DOF  rad,0,0.000001,19.678174,,ED Platform pitch tilt rotation DOF  rad,0,0.000001,49.727078,,ED Platform roll tilt rotation DOF  rad,0,0.000000,8.535991,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000000,31.226628,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000000,4.119054,,ED Platform pitch tilt rotation DOF  rad,0,-0.000000,24.420360,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000000,-2.569073,,ED Platform pitch tilt rotation DOF  rad,0,-0.000000,-0.409803,
