Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
ED Variable speed generator DOF  rad,0,-0.002972,0.807480,,ED Platform pitch tilt rotation DOF  rad,1,0.016536,-6.637867,,ED Platform horizontal sway translation DOF  m,0,0.050517,56.980430,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.039994,-29.505690,,SD Craig-Bampton mode 4 amplitude  -,0,-0.022364,78.086302,,SD Craig-Bampton mode 4 amplitude  -,0,0.009375,73.536228,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.006338,-84.865913,,ED Platform horizontal sway translation DOF  m,0,-0.007433,-44.068876,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.003179,-11.143839,,SD Craig-Bampton mode 5 amplitude  -,0,0.002619,-86.252977,,SD Craig-Bampton mode 4 amplitude  -,0,0.001052,-80.941080,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000277,-6.631909,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000157,22.731931,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001049,-19.087234,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000558,4.381711,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000997,-2.182510,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000284,5.246675,,ED Platform horizontal sway translation DOF  m,0,0.000080,3.788306,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000265,0.301925,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000501,7.116567,,ED Platform roll tilt rotation DOF  rad,0,0.000514,0.168360,
ED Platform horizontal surge translation DOF  m,0,-0.002611,-26.859931,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,-0.014865,67.480185,,SD Craig-Bampton mode 4 amplitude  -,0,0.044453,2.507560,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.029027,27.665850,,ED Platform horizontal surge translation DOF  m,0,0.010874,-88.132040,,SD Craig-Bampton mode 5 amplitude  -,0,0.006863,45.144071,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.006332,6.504469,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,0.004338,-55.228171,,ED Platform vertical heave translation DOF  m,0,0.003109,-44.465819,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.001629,59.837935,,ED Platform horizontal sway translation DOF  m,0,0.000485,4.364865,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000224,-38.673149,,ED Platform roll tilt rotation DOF  rad,0,-0.000147,0.109103,,ED Platform horizontal sway translation DOF  m,0,-0.000749,-79.205310,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000551,15.229497,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000327,1.009551,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000239,11.391485,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000069,7.790810,,ED Platform roll tilt rotation DOF  rad,0,-0.000166,-5.668983,,ED Platform horizontal surge translation DOF  m,0,0.000411,2.479008,,ED Platform horizontal sway translation DOF  m,0,0.000060,-6.045134,
SD Craig-Bampton mode 2 amplitude  -,0,-0.001281,-55.074605,,ED 1st flapwise bending-mode DOF of blade collective  m,1,-0.012348,80.859152,,ED Platform vertical heave translation DOF  m,0,-0.021452,-43.229918,,ED Platform horizontal sway translation DOF  m,0,0.019649,55.625273,,ED Platform vertical heave translation DOF  m,0,0.009545,8.598148,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.004241,-47.028235,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.002491,-21.741209,,ED Platform yaw rotation DOF  rad,0,-0.003083,-39.083361,,ED Platform horizontal sway translation DOF  m,0,0.002236,35.172429,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.001381,-20.547105,,ED Drivetrain rotational-flexibility DOF  rad,1,-0.000480,-28.281697,,ED Platform vertical heave translation DOF  m,0,-0.000180,50.141049,,ED Variable speed generator DOF  rad,0,0.000118,-21.954543,,ED Platform yaw rotation DOF  rad,0,-0.000515,-16.645549,,ED Platform pitch tilt rotation DOF  rad,0,0.000289,5.275593,,ED Platform roll tilt rotation DOF  rad,0,0.000300,5.368659,,ED Platform yaw rotation DOF  rad,0,0.000151,5.362284,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000056,14.260969,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000105,13.645689,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000397,11.408076,,ED Platform yaw rotation DOF  rad,0,-0.000046,0.650720,
ED Platform yaw rotation DOF  rad,0,0.000475,-5.894130,,ED Variable speed generator DOF  rad,1,0.006688,72.338750,,ED Platform yaw rotation DOF  rad,1,0.019889,51.308610,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.014091,84.636470,,ED Platform yaw rotation DOF  rad,0,-0.007192,-88.338852,,ED Platform horizontal surge translation DOF  m,0,-0.003122,79.232908,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.002104,41.881751,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.002286,28.898360,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.001996,53.970789,,ED Variable speed generator DOF  rad,0,-0.000563,16.614061,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000432,-37.049732,,ED Platform pitch tilt rotation DOF  rad,0,-0.000103,-39.435676,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000081,-49.018233,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000230,-9.786265,,ED Platform horizontal surge translation DOF  m,0,-0.000221,-12.879523,,ED Platform horizontal sway translation DOF  m,0,0.000144,-17.295929,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000050,9.053645,,ED Platform pitch tilt rotation DOF  rad,0,0.000037,7.730580,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000084,18.447523,,ED Platform pitch tilt rotation DOF  rad,0,-0.000270,7.105317,,ED Variable speed generator DOF  rad,0,0.000039,19.843597,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000386,-2.312695,,SD Craig-Bampton mode 5 amplitude  -,0,-0.005307,-36.890007,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.013740,-19.799420,,ED Platform vertical heave translation DOF  m,0,0.007761,-1.422551,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.006593,-57.126035,,ED Platform vertical heave translation DOF  m,0,-0.002068,59.543607,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001321,79.800524,,ED Platform vertical heave translation DOF  m,0,-0.002143,42.318245,,ED Platform pitch tilt rotation DOF  rad,0,-0.001428,-38.063953,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000260,7.718282,,ED Platform roll tilt rotation DOF  rad,0,-0.000312,-14.090519,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000045,35.710362,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000070,-84.121947,,ED Platform vertical heave translation DOF  m,0,-0.000179,81.333173,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000106,13.035168,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000065,-2.210743,,ED Platform vertical heave translation DOF  m,0,-0.000031,-88.944701,,ED Platform horizontal surge translation DOF  m,0,0.000022,1.792113,,ED Variable speed generator DOF  rad,0,-0.000084,10.026792,,ED Platform horizontal sway translation DOF  m,0,-0.000106,-71.247418,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000010,16.438473,
ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000150,-49.318625,,ED Platform vertical heave translation DOF  m,1,-0.005095,-65.124582,,SD Craig-Bampton mode 5 amplitude  -,0,-0.012431,-70.469612,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.007208,-63.978324,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.005585,9.161215,,ED Platform yaw rotation DOF  rad,0,-0.001964,-40.644860,,ED Platform horizontal surge translation DOF  m,0,0.001153,89.947378,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.002082,79.412280,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001080,11.549690,,ED Platform vertical heave translation DOF  m,0,-0.000189,29.015231,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000223,39.734352,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000043,-27.655599,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000040,-27.691209,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000146,-49.307259,,ED Platform horizontal sway translation DOF  m,0,-0.000079,-64.660756,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000044,18.655525,,ED Platform roll tilt rotation DOF  rad,0,0.000017,12.105615,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000019,3.174883,,ED Platform yaw rotation DOF  rad,0,0.000071,9.729386,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000085,7.717728,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000002,15.566120,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000110,22.483595,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001859,-58.450499,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,-0.012326,62.022834,,ED Variable speed generator DOF  rad,0,-0.005965,19.221711,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.004688,-20.661589,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.001949,16.128628,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000901,20.931469,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.001285,80.414925,,ED Platform horizontal surge translation DOF  m,0,-0.000936,76.794045,,ED Platform horizontal sway translation DOF  m,0,-0.000129,75.162047,,ED Platform horizontal surge translation DOF  m,0,-0.000166,-86.319625,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000036,-15.097004,,ED Platform yaw rotation DOF  rad,0,0.000034,71.370557,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000120,-2.964538,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000055,4.672143,,ED Platform yaw rotation DOF  rad,0,-0.000019,15.315263,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000010,39.350395,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000016,10.463724,,ED Platform vertical heave translation DOF  m,0,-0.000034,-68.810064,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000038,2.100811,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-3.828512,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000054,-51.300472,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.001462,-7.392000,,ED Platform pitch tilt rotation DOF  rad,0,0.009372,-38.963445,,ED Platform yaw rotation DOF  rad,0,0.005567,59.160012,,ED Platform pitch tilt rotation DOF  rad,0,-0.003937,13.414937,,ED Platform pitch tilt rotation DOF  rad,0,0.000960,67.588785,,ED Platform yaw rotation DOF  rad,0,-0.000701,-43.226555,,ED Platform horizontal surge translation DOF  m,0,-0.000999,-15.285458,,ED Platform yaw rotation DOF  rad,0,0.000922,34.421649,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000117,42.894561,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000052,-5.151599,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000032,46.750475,,ED Platform horizontal surge translation DOF  m,0,0.000031,-34.564824,,ED Platform horizontal surge translation DOF  m,0,-0.000119,52.090472,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000033,89.541103,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000016,-18.848518,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000008,-42.408640,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000014,-5.348157,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000019,10.794318,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000030,-47.788809,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000001,20.110534,
ED Platform pitch tilt rotation DOF  rad,0,-0.000048,-10.201605,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.001201,-5.304446,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.007027,-79.327931,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.004114,-14.340174,,SD Craig-Bampton mode 5 amplitude  -,0,-0.003700,-60.781588,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000566,-74.914947,,ED Platform vertical heave translation DOF  m,0,0.000649,87.288423,,ED Platform pitch tilt rotation DOF  rad,0,0.000906,44.513590,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000562,-25.193652,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000106,-84.906240,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000041,-61.031659,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000027,36.199472,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000031,20.094627,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000085,-9.296611,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000029,47.693441,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000015,-8.273006,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000008,-57.311535,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000012,6.398137,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000018,16.426256,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000025,-39.246974,,ED Platform vertical heave translation DOF  m,0,0.000001,-4.964330,
ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000041,-20.620586,,ED Platform roll tilt rotation DOF  rad,0,0.001034,-17.336884,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.004629,-12.382133,,ED Platform pitch tilt rotation DOF  rad,0,-0.004110,15.100847,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.001925,35.452959,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000546,-35.093684,,ED Platform pitch tilt rotation DOF  rad,0,0.000468,-87.460325,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000748,-56.594915,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000487,74.165922,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000087,75.446404,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000023,-13.140225,,ED Platform horizontal sway translation DOF  m,0,-0.000024,-8.008201,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000022,-24.739394,,ED Variable speed generator DOF  rad,0,-0.000069,-33.885640,,ED Platform yaw rotation DOF  rad,0,-0.000009,83.044537,,ED Platform horizontal surge translation DOF  m,0,0.000009,45.323757,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000007,-13.880635,,ED Platform yaw rotation DOF  rad,0,0.000009,5.628243,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000010,-2.859941,,ED Platform yaw rotation DOF  rad,0,-0.000014,-56.887066,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000001,-57.079486,
ED Platform vertical heave translation DOF  m,0,0.000036,42.905445,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000839,71.695076,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.003554,63.213045,,SD Craig-Bampton mode 5 amplitude  -,0,0.003242,71.989953,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.001788,-33.947194,,ED Variable speed generator DOF  rad,0,-0.000158,-7.797266,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000071,-70.743693,,ED Platform roll tilt rotation DOF  rad,0,-0.000184,-31.960983,,ED Platform roll tilt rotation DOF  rad,0,0.000058,45.413429,,ED Platform pitch tilt rotation DOF  rad,0,0.000050,-80.024527,,ED Platform yaw rotation DOF  rad,0,0.000021,22.242397,,ED Platform yaw rotation DOF  rad,0,-0.000019,34.963530,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000019,-37.738578,,ED Platform pitch tilt rotation DOF  rad,0,-0.000058,-67.762841,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000009,-5.699144,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000003,-16.088082,,ED Variable speed generator DOF  rad,0,0.000006,41.842525,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,7.810402,,ED Platform horizontal surge translation DOF  m,0,-0.000005,-57.283894,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000007,69.536970,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000001,-65.340258,
ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000030,49.328085,,ED Platform yaw rotation DOF  rad,0,0.000759,34.709466,,ED Platform roll tilt rotation DOF  rad,0,0.001071,47.222980,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.002835,7.715042,,ED Variable speed generator DOF  rad,0,0.000698,65.627334,,ED Platform roll tilt rotation DOF  rad,0,0.000099,68.966558,,ED Variable speed generator DOF  rad,0,-0.000064,-19.897385,,ED Variable speed generator DOF  rad,0,-0.000110,-44.782034,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000057,-88.004018,,ED Platform roll tilt rotation DOF  rad,0,0.000049,55.277382,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000018,-69.765398,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000014,6.241930,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000017,73.851502,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000044,-56.185982,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000006,-15.151035,,ED Platform vertical heave translation DOF  m,0,0.000003,16.706868,,ED Platform pitch tilt rotation DOF  rad,0,-0.000004,-51.620886,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,-0.100532,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000004,9.814140,,ED Platform roll tilt rotation DOF  rad,0,-0.000004,51.663865,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000001,-2.057717,
ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000027,-64.179744,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000682,37.550328,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000976,73.238005,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.001543,-32.399904,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000583,-80.685165,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000098,-86.574790,,ED Platform roll tilt rotation DOF  rad,0,0.000037,48.426046,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000051,33.984923,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000050,-6.270487,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000048,74.124404,,ED Platform vertical heave translation DOF  m,0,0.000018,-50.829788,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000009,-48.455539,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000010,-68.197018,,ED Platform roll tilt rotation DOF  rad,0,-0.000033,89.236444,,ED Variable speed generator DOF  rad,0,-0.000003,68.879347,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000002,-18.449445,,ED Platform horizontal surge translation DOF  m,0,-0.000001,-25.776441,,ED Platform roll tilt rotation DOF  rad,0,0.000001,2.873110,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000003,64.782923,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000004,3.135319,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000000,1.549515,
ED Drivetrain rotational-flexibility DOF  rad,0,0.000014,-30.993785,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000552,-69.213437,,ED Variable speed generator DOF  rad,0,0.000925,21.747090,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.001143,3.882368,,ED Platform roll tilt rotation DOF  rad,0,-0.000279,-76.407830,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000034,54.922114,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000021,17.135225,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000023,89.088039,,ED Variable speed generator DOF  rad,0,0.000029,0.254915,,ED Platform yaw rotation DOF  rad,0,-0.000044,65.639716,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000010,-37.359069,,ED Variable speed generator DOF  rad,0,-0.000004,30.873196,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000009,-57.568700,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000029,-23.154161,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000002,73.218615,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000002,-21.879196,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,49.309318,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000001,-1.912199,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000003,61.237083,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,4.785675,,ED Platform horizontal surge translation DOF  m,0,-0.000000,21.128540,
ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000009,-41.608325,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000331,6.204145,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000189,-53.190851,,ED Platform roll tilt rotation DOF  rad,0,0.000256,76.813714,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000173,43.620051,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000008,50.561979,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000014,9.129329,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000019,-10.076152,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000007,33.135257,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000033,-6.004079,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000006,-18.659010,,ED Platform roll tilt rotation DOF  rad,0,0.000004,-54.417789,,ED Platform pitch tilt rotation DOF  rad,0,0.000006,-43.802511,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000011,-70.923205,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000002,28.094687,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000002,1.718857,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000000,48.456313,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-2.602471,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000002,20.423309,,ED Variable speed generator DOF  rad,0,-0.000002,79.821747,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000000,-69.171698,
ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000003,-35.236526,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000031,49.709796,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000010,-52.914826,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000146,-71.176715,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000017,-36.801032,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000007,-14.480083,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000005,-23.899712,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000009,-18.701519,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000004,19.743985,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000027,52.703365,,ED Platform pitch tilt rotation DOF  rad,0,-0.000002,-39.373558,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000001,30.975870,,ED Platform vertical heave translation DOF  m,0,0.000005,9.905147,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000011,-82.848213,,ED Platform roll tilt rotation DOF  rad,0,0.000000,45.882105,,ED Platform pitch tilt rotation DOF  rad,0,-0.000001,-11.311513,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000000,48.944283,,ED Variable speed generator DOF  rad,0,0.000000,6.929237,,ED Platform pitch tilt rotation DOF  rad,0,0.000002,-87.193433,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-24.734538,,ED Platform pitch tilt rotation DOF  rad,0,-0.000000,0.168802,
