Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
ED Variable speed generator DOF  rad,0,-0.003001,1.037120,,ED 1st flapwise bending-mode DOF of blade collective  m,1,-0.012700,81.941218,,ED Platform vertical heave translation DOF  m,0,-0.020534,-44.458482,,ED Variable speed generator DOF  rad,0,-0.006825,42.064548,,ED Platform vertical heave translation DOF  m,0,0.008045,-12.970802,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.008552,-53.214376,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.003605,28.528106,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.003071,46.827380,,ED Platform vertical heave translation DOF  m,0,0.002769,-54.362374,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.002190,3.477382,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000603,13.207182,,ED Platform vertical heave translation DOF  m,0,-0.000186,53.790633,,ED Variable speed generator DOF  rad,0,0.000133,-24.786636,,ED Platform yaw rotation DOF  rad,0,-0.000543,-17.188438,,ED Platform pitch tilt rotation DOF  rad,0,0.000288,5.662587,,ED Platform roll tilt rotation DOF  rad,0,0.000299,3.834490,,ED Platform yaw rotation DOF  rad,0,0.000148,5.709965,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000051,15.235650,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000095,13.493636,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000366,12.109450,,ED Platform yaw rotation DOF  rad,0,-0.000047,0.631291,
ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000503,57.648221,,ED Variable speed generator DOF  rad,1,0.010871,75.241106,,ED Platform yaw rotation DOF  rad,1,0.017773,27.190954,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.006534,6.619998,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,-0.007643,-67.027514,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.005047,29.655964,,ED Platform yaw rotation DOF  rad,0,-0.003314,-42.501105,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.002829,-26.285407,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.002419,50.414581,,ED Variable speed generator DOF  rad,0,-0.001275,44.348471,,ED Drivetrain rotational-flexibility DOF  rad,1,-0.000493,-30.647196,,ED Platform pitch tilt rotation DOF  rad,0,-0.000109,-40.390105,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000074,-52.436427,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000389,-13.627805,,ED Platform horizontal surge translation DOF  m,0,-0.000224,-13.010217,,ED Platform horizontal sway translation DOF  m,0,0.000141,-14.007857,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000082,8.278434,,ED Platform pitch tilt rotation DOF  rad,0,0.000035,8.035162,,ED Variable speed generator DOF  rad,0,-0.000084,8.487943,,ED Platform pitch tilt rotation DOF  rad,0,-0.000256,7.457987,,ED Variable speed generator DOF  rad,0,0.000039,19.156757,
ED Platform yaw rotation DOF  rad,0,0.000440,-23.581411,,SD Craig-Bampton mode 5 amplitude  -,0,-0.008203,-35.308462,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.016650,-28.029045,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.005837,-15.504416,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.006248,9.110466,,ED Platform horizontal surge translation DOF  m,0,-0.004455,63.133409,,ED Platform vertical heave translation DOF  m,0,-0.003114,40.447602,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.001182,-87.129413,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001564,-1.014166,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000361,20.860357,,ED Platform horizontal sway translation DOF  m,0,0.000487,4.254004,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000075,-32.253344,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000070,-88.408709,,ED Platform vertical heave translation DOF  m,0,-0.000268,78.999684,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000176,10.902729,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000117,1.065167,,ED Platform vertical heave translation DOF  m,0,0.000048,83.101180,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000028,5.936008,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000076,18.645558,,ED Platform horizontal sway translation DOF  m,0,-0.000156,-60.880404,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000010,16.503337,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000386,-0.009071,,ED Platform vertical heave translation DOF  m,1,-0.005576,-66.854297,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.011937,60.289657,,ED Platform horizontal sway translation DOF  m,0,-0.004407,-29.173610,,ED Platform yaw rotation DOF  rad,0,0.005614,77.021581,,ED Platform vertical heave translation DOF  m,0,-0.003354,34.075758,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.003012,-89.967054,,ED Platform horizontal surge translation DOF  m,0,-0.001059,-78.229301,,ED Platform pitch tilt rotation DOF  rad,0,-0.001282,-45.605011,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000271,78.443745,,ED Platform roll tilt rotation DOF  rad,0,-0.000315,-15.608717,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000053,27.969874,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000056,29.583923,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000217,-46.013813,,ED Platform horizontal sway translation DOF  m,0,-0.000117,-67.128007,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000088,19.197626,,ED Platform roll tilt rotation DOF  rad,0,0.000017,12.085968,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000025,13.393273,,ED Platform yaw rotation DOF  rad,0,0.000068,9.395268,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000137,7.505453,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000003,15.785535,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000206,-6.951485,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001524,-83.774463,,ED Platform pitch tilt rotation DOF  rad,0,0.008849,-42.013880,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.002225,-75.951094,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.004748,-52.172049,,ED Platform yaw rotation DOF  rad,0,-0.002881,-63.106219,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.002048,-78.499703,,ED Platform vertical heave translation DOF  m,0,-0.000997,-40.225351,,ED Platform yaw rotation DOF  rad,0,0.001114,29.312009,,ED Platform vertical heave translation DOF  m,0,-0.000271,50.342206,,ED Platform horizontal surge translation DOF  m,0,0.000303,47.021792,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000041,-11.476655,,ED Platform horizontal surge translation DOF  m,0,0.000052,-47.771457,,ED Platform horizontal surge translation DOF  m,0,-0.000162,52.137709,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000049,-0.600758,,ED Platform horizontal surge translation DOF  m,0,0.000028,31.258816,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000014,-26.703674,,ED Platform horizontal surge translation DOF  m,0,0.000021,1.986486,,ED Platform vertical heave translation DOF  m,0,-0.000050,-69.106421,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000046,-37.235168,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000002,19.801827,
ED Platform pitch tilt rotation DOF  rad,0,-0.000134,1.810242,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.001509,-11.577063,,SD Craig-Bampton mode 5 amplitude  -,0,-0.008424,-89.388008,,ED Platform pitch tilt rotation DOF  rad,0,-0.001678,42.266632,,ED Platform pitch tilt rotation DOF  rad,0,-0.003311,-6.565041,,ED Platform pitch tilt rotation DOF  rad,0,0.001382,42.028114,,ED Platform horizontal surge translation DOF  m,0,-0.001650,-26.231843,,ED Platform yaw rotation DOF  rad,0,-0.000752,0.433240,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000982,-36.702006,,ED Platform horizontal sway translation DOF  m,0,0.000221,-72.786125,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000050,3.136035,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000032,39.784653,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000044,-26.656471,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000135,-7.248330,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000044,81.741727,,ED Platform yaw rotation DOF  rad,0,-0.000020,10.162531,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000013,-41.220167,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000019,6.331090,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000028,15.689579,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000042,-25.841460,,ED Platform vertical heave translation DOF  m,0,0.000002,-0.996073,
ED Platform vertical heave translation DOF  m,0,0.000103,47.648661,,ED Platform roll tilt rotation DOF  rad,0,0.001481,-15.155441,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.002704,-5.977534,,ED Platform vertical heave translation DOF  m,0,0.001528,19.114968,,SD Craig-Bampton mode 5 amplitude  -,0,0.002901,84.735369,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000871,22.518948,,ED Platform pitch tilt rotation DOF  rad,0,0.001315,42.732806,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000603,32.917930,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000901,41.773404,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000138,88.735747,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000043,67.800894,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000027,44.774239,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000040,74.014413,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000099,10.408713,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000043,40.904322,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000015,-11.646718,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000009,41.122070,,ED Platform yaw rotation DOF  rad,0,0.000012,9.819625,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000019,10.723871,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000035,9.692050,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-4.793178,
ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000080,59.570590,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.001267,-14.845395,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.001344,2.372377,,ED Platform yaw rotation DOF  rad,0,-0.001372,-14.736536,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000879,86.813217,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000448,76.314936,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000855,0.732715,,ED Platform pitch tilt rotation DOF  rad,0,0.000566,-52.807719,,ED Platform horizontal surge translation DOF  m,0,-0.000799,64.668398,,ED Platform roll tilt rotation DOF  rad,0,-0.000112,-87.305503,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000042,1.660417,,ED Platform yaw rotation DOF  rad,0,-0.000023,24.630873,,ED Platform yaw rotation DOF  rad,0,0.000036,65.841574,,ED Platform pitch tilt rotation DOF  rad,0,-0.000084,-68.853706,,ED Platform yaw rotation DOF  rad,0,-0.000011,88.850854,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000014,0.560402,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000006,-4.809241,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000011,-11.761956,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000010,-7.487942,,ED Platform yaw rotation DOF  rad,0,-0.000021,-44.209963,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000001,-0.977502,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000070,-58.441121,,ED 1st edgewise bending-mode DOF of blade collective  m,1,0.001230,-79.938092,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.001150,-55.795501,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000933,-16.073833,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000494,53.100214,,ED Platform roll tilt rotation DOF  rad,0,0.000219,66.257588,,ED Platform roll tilt rotation DOF  rad,0,-0.000203,-33.171293,,ED Variable speed generator DOF  rad,0,-0.000063,-10.493340,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000085,26.867501,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000104,-54.836170,,ED Platform vertical heave translation DOF  m,0,0.000039,-67.930584,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000016,19.488647,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000027,-43.360963,,ED Variable speed generator DOF  rad,0,-0.000065,-34.277164,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000008,-2.621515,,ED Platform vertical heave translation DOF  m,0,0.000008,19.971076,,ED Platform pitch tilt rotation DOF  rad,0,-0.000006,-32.940803,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,8.479748,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000007,9.875476,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000011,63.225999,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000001,2.234472,
ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000055,-33.079314,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001164,69.057433,,ED Platform roll tilt rotation DOF  rad,0,0.000928,21.737055,,SD Craig-Bampton mode 5 amplitude  -,0,0.000591,12.866417,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000267,-31.235706,,ED Variable speed generator DOF  rad,0,-0.000192,-7.949693,,ED Variable speed generator DOF  rad,0,-0.000120,-47.492255,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000039,-61.611376,,ED Platform roll tilt rotation DOF  rad,0,0.000068,44.155049,,ED Platform yaw rotation DOF  rad,0,-0.000082,80.675119,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000038,-60.838168,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000014,-85.388583,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000025,-31.148019,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000047,-57.030439,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000007,-13.476261,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000005,7.882048,,ED Variable speed generator DOF  rad,0,0.000005,41.850241,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,0.360323,,ED Platform horizontal surge translation DOF  m,0,-0.000007,-67.050080,,ED Platform roll tilt rotation DOF  rad,0,-0.000007,45.143876,,ED Platform horizontal surge translation DOF  m,0,-0.000001,20.864447,
ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000051,-74.171948,,ED Platform yaw rotation DOF  rad,0,0.001024,58.066298,,ED Variable speed generator DOF  rad,0,0.000831,41.774919,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000312,-83.778293,,ED Platform roll tilt rotation DOF  rad,0,-0.000200,-89.758478,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000187,-84.164338,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000074,-2.122247,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000026,29.502179,,ED Variable speed generator DOF  rad,0,0.000044,-8.500562,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000072,75.798321,,ED Platform yaw rotation DOF  rad,0,0.000022,14.799212,,ED Platform horizontal sway translation DOF  m,0,-0.000013,-1.154737,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000017,-81.574346,,ED Platform roll tilt rotation DOF  rad,0,-0.000036,81.010809,,ED Variable speed generator DOF  rad,0,-0.000003,70.261860,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000005,19.831032,,ED Platform horizontal surge translation DOF  m,0,-0.000002,-26.002662,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000003,-1.082788,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000006,46.076752,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000004,5.968223,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000001,-74.823584,
ED Drivetrain rotational-flexibility DOF  rad,0,0.000012,0.962187,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000868,55.473679,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000390,-37.754817,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000229,58.473073,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000181,69.697268,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000044,25.244610,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000048,-80.531773,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000011,1.559127,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000027,-84.733169,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000062,13.621359,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000014,-33.810327,,ED Variable speed generator DOF  rad,0,-0.000013,73.600613,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000015,-69.864781,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000027,-18.879259,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000002,77.317416,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000004,-11.375297,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,53.015509,,ED Platform roll tilt rotation DOF  rad,0,0.000003,1.529207,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000005,50.323640,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000003,9.100896,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000001,-87.588397,
ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000010,-52.723238,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000406,-41.666629,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000178,-11.484874,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000218,-25.908885,,ED Variable speed generator DOF  rad,0,-0.000080,-40.786209,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000023,-86.393731,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000019,8.954135,,ED Platform roll tilt rotation DOF  rad,0,-0.000009,69.367112,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000020,54.863210,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000015,-7.734634,,ED Platform pitch tilt rotation DOF  rad,0,-0.000014,-2.906126,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000004,76.794207,,ED Platform pitch tilt rotation DOF  rad,0,0.000011,-53.140055,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000023,-60.196452,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000001,10.827549,,ED Platform pitch tilt rotation DOF  rad,0,-0.000002,13.346654,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000001,54.878153,,ED Variable speed generator DOF  rad,0,0.000001,6.283029,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000005,18.961832,,ED Variable speed generator DOF  rad,0,-0.000003,72.263876,,ED Platform pitch tilt rotation DOF  rad,0,-0.000000,1.583589,
ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000009,-37.555015,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000045,86.067870,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000013,4.852739,,ED Platform roll tilt rotation DOF  rad,0,-0.000145,-11.740126,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000003,64.113055,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000008,-3.753566,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000010,-5.791778,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000005,-6.937909,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000006,20.295499,,ED Platform pitch tilt rotation DOF  rad,0,0.000005,50.663119,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000012,-19.672416,,ED Platform roll tilt rotation DOF  rad,0,-0.000002,25.964991,,ED Platform vertical heave translation DOF  m,0,0.000007,16.920486,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000020,-76.057273,,ED Platform roll tilt rotation DOF  rad,0,-0.000000,75.477742,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-50.669348,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000000,47.802091,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-6.582193,,ED Platform pitch tilt rotation DOF  rad,0,-0.000003,79.457564,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-36.854920,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000000,-86.593585,
