Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,,Mode Number:,22,,,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.014279,0.251464,,SD Craig-Bampton mode 2 amplitude  -,0,-0.007021,-20.656161,,ED Platform pitch tilt rotation DOF  rad,1,0.016091,-5.914031,,SD Craig-Bampton mode 4 amplitude  -,0,0.062875,71.455336,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.012056,-51.827270,,ED Platform horizontal sway translation DOF  m,0,-0.024761,-70.813556,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.009492,23.800536,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.005994,9.697708,,ED Platform horizontal sway translation DOF  m,0,-0.007070,-40.384163,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.003096,-12.065642,,SD Craig-Bampton mode 5 amplitude  -,0,0.002942,-69.639893,,SD Craig-Bampton mode 4 amplitude  -,0,-0.001332,80.104252,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000281,-6.299959,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000155,22.342269,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.001030,-17.967169,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000554,4.032008,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000996,-2.207157,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000287,4.844350,,ED Platform horizontal sway translation DOF  m,0,0.000088,5.601145,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000264,0.279680,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000516,6.682235,,ED Platform roll tilt rotation DOF  rad,0,0.000513,0.167332,
ED Platform horizontal sway translation DOF  m,0,-0.010441,16.117373,,ED Platform roll tilt rotation DOF  rad,1,0.002922,-0.006309,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,-0.012271,77.942105,,ED Platform horizontal sway translation DOF  m,0,-0.055591,-88.991883,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.010336,85.508324,,ED Platform horizontal surge translation DOF  m,0,0.019739,-34.832173,,SD Craig-Bampton mode 5 amplitude  -,0,0.007382,64.771924,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.005973,-82.174841,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.004379,-52.797672,,ED Platform vertical heave translation DOF  m,0,0.002952,-41.167305,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.001532,57.752432,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000484,-28.091371,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000217,-38.284320,,ED Platform roll tilt rotation DOF  rad,0,-0.000147,0.226871,,ED Platform horizontal sway translation DOF  m,0,-0.000697,-78.155413,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000552,14.339168,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000325,0.995664,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000243,10.759104,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000071,7.271827,,ED Platform roll tilt rotation DOF  rad,0,-0.000165,-5.688988,,ED Platform horizontal surge translation DOF  m,0,0.000416,2.366138,,ED Platform horizontal sway translation DOF  m,0,0.000062,-5.771355,
SD Craig-Bampton mode 1 amplitude  -,0,-0.008877,10.495861,,ED Variable speed generator DOF  rad,0,-0.002659,0.995162,,ED 1st flapwise bending-mode DOF of blade collective  m,1,0.010466,-89.898841,,ED Platform vertical heave translation DOF  m,0,-0.026324,19.451938,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.006450,-7.981754,,ED Platform vertical heave translation DOF  m,0,0.011247,35.193765,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.005187,-37.341217,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.002706,-17.874724,,ED Platform yaw rotation DOF  rad,0,-0.003048,-36.738155,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.001961,55.111674,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.001210,-3.855490,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000479,-35.726093,,ED Platform vertical heave translation DOF  m,0,-0.000176,48.228609,,ED Variable speed generator DOF  rad,0,0.000117,-21.369306,,ED Platform yaw rotation DOF  rad,0,-0.000510,-15.352315,,ED Platform pitch tilt rotation DOF  rad,0,0.000288,5.015263,,ED Platform roll tilt rotation DOF  rad,0,0.000300,5.339101,,ED Platform yaw rotation DOF  rad,0,0.000153,5.002587,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000059,13.692288,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000110,13.096622,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000414,10.870141,,ED Platform yaw rotation DOF  rad,0,-0.000044,0.659655,
ED 2nd flapwise bending-mode DOF of blade sine  m,1,-0.006657,1.567365,,ED Platform yaw rotation DOF  rad,0,0.000500,-0.141711,,ED Platform vertical heave translation DOF  m,1,-0.004136,-74.442528,,ED Platform yaw rotation DOF  rad,0,-0.025566,-67.650347,,ED Platform horizontal sway translation DOF  m,0,0.004817,24.948051,,ED Platform yaw rotation DOF  rad,0,-0.008052,-64.267769,,ED Platform horizontal surge translation DOF  m,0,-0.003618,79.980102,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.002211,37.359058,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.002256,31.752931,,ED Platform horizontal sway translation DOF  m,0,0.001908,42.545742,,ED Variable speed generator DOF  rad,0,-0.000603,43.633519,,ED Platform horizontal sway translation DOF  m,0,0.000478,4.539272,,ED Platform pitch tilt rotation DOF  rad,0,-0.000100,-38.180321,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000086,-47.269748,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000253,-10.564303,,ED Platform horizontal surge translation DOF  m,0,-0.000219,-12.191400,,ED Platform horizontal sway translation DOF  m,0,0.000145,-16.946435,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000055,8.221132,,ED Platform pitch tilt rotation DOF  rad,0,0.000039,7.272163,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000089,17.767002,,ED Platform pitch tilt rotation DOF  rad,0,-0.000280,6.704486,,ED Variable speed generator DOF  rad,0,0.000039,19.831651,
SD Craig-Bampton mode 3 amplitude  -,0,0.005133,18.482281,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000388,-0.149703,,ED Variable speed generator DOF  rad,0,0.002713,67.896160,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.014995,21.786160,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.003065,-18.377614,,SD Craig-Bampton mode 5 amplitude  -,0,-0.007004,-22.535507,,ED Platform vertical heave translation DOF  m,0,-0.003045,60.245453,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001545,87.895042,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.002171,75.271001,,ED Platform pitch tilt rotation DOF  rad,0,-0.001359,-35.038525,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000259,10.051668,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000342,33.452206,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000048,-28.757082,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000071,-81.741931,,ED Platform vertical heave translation DOF  m,0,-0.000184,81.820965,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000116,11.770634,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000071,-1.705337,,ED Platform vertical heave translation DOF  m,0,0.000033,85.942345,,ED Platform horizontal surge translation DOF  m,0,0.000023,1.705512,,ED Variable speed generator DOF  rad,0,-0.000084,10.008287,,ED Platform horizontal sway translation DOF  m,0,-0.000105,-74.339881,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000010,16.414868,
ED 1st edgewise bending-mode DOF of blade sine  m,0,0.004287,-0.703330,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000378,15.357187,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.002521,-4.517063,,SD Craig-Bampton mode 5 amplitude  -,0,-0.013221,3.229392,,ED Platform vertical heave translation DOF  m,0,0.002514,-19.015454,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.006564,-48.792963,,ED Platform yaw rotation DOF  rad,0,-0.002572,-43.432900,,ED Platform horizontal surge translation DOF  m,0,-0.001166,-87.429603,,ED Platform vertical heave translation DOF  m,0,-0.002147,45.153163,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001072,18.697095,,ED Platform vertical heave translation DOF  m,0,-0.000191,35.167985,,ED Platform roll tilt rotation DOF  rad,0,-0.000313,-14.050289,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000046,38.983046,,ED Platform horizontal surge translation DOF  m,0,0.000040,-35.468815,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000147,-48.997318,,ED Platform horizontal sway translation DOF  m,0,-0.000076,-68.587515,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000051,15.954949,,ED Platform roll tilt rotation DOF  rad,0,0.000018,11.148435,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000021,4.891469,,ED Platform yaw rotation DOF  rad,0,0.000074,9.529104,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000097,7.477057,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000002,15.706523,
ED Platform vertical heave translation DOF  m,0,0.003982,2.892229,,ED Platform pitch tilt rotation DOF  rad,0,-0.000169,-2.094030,,ED Platform yaw rotation DOF  rad,0,0.001404,46.406792,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,0.012733,-73.711902,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.002457,87.582236,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.005055,13.229287,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.001408,25.825579,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.001022,29.875720,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.001248,-76.715315,,ED Platform yaw rotation DOF  rad,0,0.000882,39.234406,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000127,67.086497,,ED Platform horizontal surge translation DOF  m,0,0.000204,76.521477,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000040,-15.067015,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000039,-27.117587,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000136,-3.614098,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000067,4.123749,,ED Platform yaw rotation DOF  rad,0,-0.000019,15.714680,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000011,34.285826,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000018,11.094290,,ED Platform vertical heave translation DOF  m,0,-0.000035,-69.722807,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000031,-47.098560,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000001,19.468337,
ED 1st flapwise bending-mode DOF of blade collective  m,0,0.003911,65.222389,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000113,79.147172,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.001276,4.774602,,ED Platform pitch tilt rotation DOF  rad,0,0.011241,26.018805,,ED Variable speed generator DOF  rad,0,-0.002272,83.823873,,ED Platform pitch tilt rotation DOF  rad,0,-0.004587,40.607663,,ED Platform pitch tilt rotation DOF  rad,0,0.001347,66.547069,,ED Platform yaw rotation DOF  rad,0,-0.000924,-40.757021,,ED Platform pitch tilt rotation DOF  rad,0,0.000923,46.957790,,ED Platform horizontal surge translation DOF  m,0,-0.000748,75.607245,,ED Platform horizontal sway translation DOF  m,0,0.000106,-78.497427,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000056,-5.764521,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000035,52.175557,,ED Platform yaw rotation DOF  rad,0,0.000034,74.597568,,ED Platform horizontal surge translation DOF  m,0,-0.000122,53.796173,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000033,88.109124,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000016,-19.035488,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000009,-36.862592,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000013,6.135251,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000021,15.278125,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000027,-38.222754,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-3.017870,
ED Platform roll tilt rotation DOF  rad,0,0.002289,0.819255,,ED Platform vertical heave translation DOF  m,0,0.000095,56.213885,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.001198,7.582752,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.002985,-45.761169,,SD Craig-Bampton mode 5 amplitude  -,0,0.001733,62.874782,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.002661,55.830591,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.001034,-58.511244,,ED Platform vertical heave translation DOF  m,0,0.000866,87.346374,,ED Platform horizontal surge translation DOF  m,0,-0.000906,-10.569378,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000704,-3.963701,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000096,77.600774,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000039,-54.409472,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000028,36.626326,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000033,20.689189,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000088,-3.646622,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000028,44.330996,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000015,-7.873264,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000008,-50.543061,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000011,-8.739896,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000019,10.787461,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000026,1.006607,,ED Platform vertical heave translation DOF  m,0,0.000001,-8.346130,
ED Platform pitch tilt rotation DOF  rad,0,-0.002193,-0.365779,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000094,-68.236983,,SD Craig-Bampton mode 5 amplitude  -,0,-0.000968,-22.649780,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.002962,20.216875,,ED Platform yaw rotation DOF  rad,0,0.001670,28.223020,,ED Variable speed generator DOF  rad,0,0.000701,63.476978,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000802,71.514064,,ED Platform pitch tilt rotation DOF  rad,0,0.000549,-87.782045,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000801,-61.405022,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000649,-87.553391,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000067,75.055896,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000026,-81.859409,,ED Platform horizontal sway translation DOF  m,0,-0.000024,-9.783028,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000024,-27.877293,,ED Variable speed generator DOF  rad,0,-0.000071,-32.295588,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000009,-6.818850,,ED Platform horizontal surge translation DOF  m,0,0.000013,36.025638,,ED Variable speed generator DOF  rad,0,0.000006,37.039273,,ED Platform yaw rotation DOF  rad,0,0.000010,7.124851,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000007,-9.091399,,ED Platform yaw rotation DOF  rad,0,-0.000014,-55.923160,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.000001,-39.921280,
SD Craig-Bampton mode 5 amplitude  -,0,-0.001221,28.037466,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000060,-44.668218,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000927,82.928752,,ED Variable speed generator DOF  rad,0,0.002819,30.883659,,ED Platform pitch tilt rotation DOF  rad,0,-0.001387,33.721333,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000521,-0.523676,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000230,-22.237194,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000097,-51.602423,,ED Platform roll tilt rotation DOF  rad,0,-0.000179,-30.595420,,ED Platform roll tilt rotation DOF  rad,0,0.000055,48.146210,,ED Platform roll tilt rotation DOF  rad,0,0.000055,80.959571,,ED Platform vertical heave translation DOF  m,0,0.000021,-59.379617,,ED Platform yaw rotation DOF  rad,0,-0.000020,38.981499,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000024,-35.483612,,ED Platform pitch tilt rotation DOF  rad,0,-0.000057,-67.445890,,ED Platform yaw rotation DOF  rad,0,-0.000009,86.684657,,ED Platform vertical heave translation DOF  m,0,0.000005,16.027027,,ED Platform pitch tilt rotation DOF  rad,0,-0.000004,-43.073804,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,7.602129,,ED Platform horizontal surge translation DOF  m,0,-0.000005,-59.152536,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000006,78.417801,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000001,-38.510149,
ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000773,-12.980667,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.000044,-44.125951,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000663,19.993594,,ED Platform roll tilt rotation DOF  rad,0,-0.001576,-55.601540,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000915,-77.364199,,ED Platform roll tilt rotation DOF  rad,0,-0.000360,-54.670777,,ED Variable speed generator DOF  rad,0,-0.000198,-12.720558,,ED Variable speed generator DOF  rad,0,-0.000088,-22.046659,,ED Variable speed generator DOF  rad,0,-0.000112,-52.862150,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000044,73.552190,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000038,-89.813744,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000021,-14.211863,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000014,4.428405,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000022,69.404147,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000044,-50.506270,,ED Variable speed generator DOF  rad,0,-0.000006,63.958778,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000003,13.237373,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000002,-81.000302,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,-0.113475,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000004,9.916763,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000004,4.707820,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000001,-4.093590,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000644,2.039870,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000026,-59.909932,,ED 1st edgewise bending-mode DOF of blade collective  m,1,0.000594,-71.075323,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000435,-32.920987,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000490,-23.309771,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000218,-75.838017,,ED Platform roll tilt rotation DOF  rad,0,0.000130,87.400653,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000045,41.097291,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000046,-38.807360,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000029,35.044776,,ED Platform yaw rotation DOF  rad,0,-0.000037,76.535774,,ED Platform yaw rotation DOF  rad,0,0.000020,19.269485,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000011,-48.537471,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.000012,-54.046846,,ED Platform roll tilt rotation DOF  rad,0,0.000032,-83.729341,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000005,-19.791963,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000003,2.988391,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,39.106965,,ED Platform roll tilt rotation DOF  rad,0,0.000001,12.321913,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000003,59.769915,,ED Platform roll tilt rotation DOF  rad,0,-0.000004,60.432930,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000001,-0.972168,
ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000412,47.711137,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000013,-59.575392,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000452,-72.613836,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000164,-87.250462,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000262,-62.232784,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000089,67.750943,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000085,53.832628,,ED Platform roll tilt rotation DOF  rad,0,0.000038,70.910187,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000031,52.028395,,ED Variable speed generator DOF  rad,0,0.000028,5.278817,,ED Platform pitch tilt rotation DOF  rad,0,0.000033,-86.539868,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.000010,-2.889950,,ED Platform roll tilt rotation DOF  rad,0,0.000005,-60.495684,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000011,-68.766969,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000030,-22.763941,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000004,67.652184,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000003,-19.799713,,ED Platform horizontal surge translation DOF  m,0,-0.000001,-22.762256,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-3.038185,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000003,53.101902,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000003,2.301912,,ED Platform horizontal surge translation DOF  m,0,-0.000000,22.939330,
ED Drivetrain rotational-flexibility DOF  rad,1,-0.000198,-75.219899,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000012,-30.636535,,ED Platform roll tilt rotation DOF  rad,0,0.000410,23.897215,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000082,22.484938,,ED Platform roll tilt rotation DOF  rad,0,0.000071,49.497515,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000044,68.414185,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000024,27.847693,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000008,36.844477,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000009,-30.334613,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000010,68.575387,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.000031,-9.742662,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.000008,-13.498126,,ED Variable speed generator DOF  rad,0,-0.000004,43.952366,,ED Platform pitch tilt rotation DOF  rad,0,0.000008,-42.618201,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000012,-79.216349,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000002,42.041463,,ED Platform pitch tilt rotation DOF  rad,0,-0.000002,8.008161,,ED 1st flapwise bending-mode DOF of blade collective  m,0,0.000000,38.447827,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000000,-16.740746,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000003,18.959070,,ED Variable speed generator DOF  rad,0,-0.000002,88.805450,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.000000,-47.917106,
ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000182,26.980055,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.000008,-13.827540,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000013,43.734066,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000031,-78.459422,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000058,-29.477533,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000018,-63.638385,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000009,-19.079419,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000007,-26.366892,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000003,8.667377,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000004,21.775623,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.000023,39.882126,,ED Platform pitch tilt rotation DOF  rad,0,-0.000003,0.251721,,ED Drivetrain rotational-flexibility DOF  rad,0,0.000001,43.978597,,ED Platform vertical heave translation DOF  m,0,0.000007,10.038916,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.000011,-73.083288,,ED Platform roll tilt rotation DOF  rad,0,0.000001,53.371895,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.000001,-29.147213,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,-0.000000,61.422337,,ED Variable speed generator DOF  rad,0,-0.000000,-7.175425,,ED Platform pitch tilt rotation DOF  rad,0,-0.000002,85.646095,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000001,-35.288085,,ED Platform pitch tilt rotation DOF  rad,0,-0.000000,-4.191213,
